All	HP:0000001
Absent/underdeveloped optic nerve	HP:0008058
Aplasia/Hypoplasia of the macula	HP:0008059
Absent/underdeveloped macula	HP:0008059
Aplasia/Hypoplasia of the fovea	HP:0008060
Absent/underdeveloped fovea	HP:0008060
Aplasia/Hypoplasia of the retina	HP:0008061
Absent/small retina	HP:0008061
Absent/underdeveloped retina	HP:0008061
Aplasia/Hypoplasia affecting the anterior segment of the eye	HP:0008062
Aplasia/Hypoplasia of the lens	HP:0008063
Absent/underdeveloped lens	HP:0008063
Absent/small lens	HP:0008063
Ichthyosis	HP:0008064
Ichthyosiform abnormality of the skin	HP:0008064
Hypertrophic ichthyosis	HP:0008064
Ichthyotic skin	HP:0008064
Aplasia/Hypoplasia of the skin	HP:0008065
Absent/small skin	HP:0008065
Absent/underdeveloped skin	HP:0008065
Abnormal blistering of the skin	HP:0008066
Blisters	HP:0008066
Abnormal blistering of the skin	HP:0008066
Blistering, generalized	HP:0008066
Skin blisters	HP:0008066
Skin bullae	HP:0008066
Abnormally lax or hyperextensible skin	HP:0008067
Abnormally loose or hyperelastic skin	HP:0008067
Abnormally loose or stretchable skin	HP:0008067
Neoplasm of the skin	HP:0008069
Skin cancer (non-melanoma)	HP:0008069
Dermatological tumors	HP:0008069
Neoplasia of the skin	HP:0008069
Tumor of the skin	HP:0008069
Skin cancer	HP:0008069
Skin tumors	HP:0008069
Sparse hair	HP:0008070
Sparse hair	HP:0008070
Thin, sparse hair	HP:0008070
Maternal hypertension	HP:0008071
Maternal virilization in pregnancy	HP:0008072
Low maternal serum estriol	HP:0008073
Low maternal serum estriol	HP:0008073
Metatarsal periosteal thickening	HP:0008074
Progressive pes cavus	HP:0008075
Osteoporotic tarsals	HP:0008076
Thin metatarsal cortices	HP:0008078
Absent fifth metatarsal	HP:0008079
Absent 5th metatarsals	HP:0008079
Absent 5th long bone of foot	HP:0008079
Aplasia of the fifth metatarsal bone	HP:0008079
Hallux varus	HP:0008080
Medially deviated halluces	HP:0008080
Pes valgus	HP:0008081
Valgus foot deformity	HP:0008081
Medial deviation of the foot	HP:0008082
2nd-5th toe middle phalangeal hypoplasia	HP:0008083
Underdeveloped 2nd-5th middle toe bones	HP:0008083
Nonossified fifth metatarsal	HP:0008087
Abnormality of the fifth metatarsal bone	HP:0008089
Abnormality of the 5th long bone of foot	HP:0008089
Ankylosis of feet small joints	HP:0008090
Short 4th toe	HP:0008093
Short 4th toe	HP:0008093
Short fourth toe	HP:0008093
Widely spaced toes	HP:0008094
Widely spaced toes	HP:0008094
Osteolysis of talus	HP:0008095
Osteolysis of tali	HP:0008095
Medially deviated second toe	HP:0008096
Partial fusion of tarsals	HP:0008097
Expanded metatarsals with widened medullary cavities	HP:0008102
Delayed tarsal ossification	HP:0008103
Tarsal delayed ossification	HP:0008103
Delayed ankle bone maturation	HP:0008103
Plantar crease between first and second toes	HP:0008107
Advanced tarsal ossification	HP:0008108
Precociously ossified tarsal bones	HP:0008108
Accelerated ankle bone maturation	HP:0008108
Equinovarus deformity	HP:0008110
Broad distal hallux	HP:0008111
Broad distal big toe	HP:0008111
Plantar flexion contractures	HP:0008112
Multiple plantar creases	HP:0008113
Metatarsal diaphyseal endosteal sclerosis	HP:0008114
Clinodactyly of the 3rd toe	HP:0008115
3rd toe clinodactyly	HP:0008115
Curvature of 3rd toe	HP:0008115
Flexion limitation of toes	HP:0008116
Shortening of the talar neck	HP:0008117
Deformed tarsal bones	HP:0008119
Deformed ankle bones	HP:0008119
Calcaneonavicular fusion	HP:0008122
Talipes calcaneovarus	HP:0008124
Second metatarsal posteriorly placed	HP:0008125
Bipartite calcaneus	HP:0008127
Delayed coalescence of calcaneal ossification centers	HP:0008127
Delayed coalescence of bipartite calcanei	HP:0008127
Delayed fusion of bipartite calcanei	HP:0008127
Extra calcaneal ossification center	HP:0008127
Double calcaneal ossification center	HP:0008127
Tarsal stippling	HP:0008131
Punctate calcifications of tarsals	HP:0008131
Punctate tarsal calcification	HP:0008131
Medial rotation of the medial malleolus	HP:0008132
Distal tapering of metatarsals	HP:0008133
Irregular tarsal ossification	HP:0008134
Irregular tarsal centers	HP:0008134
Irregular ankle bone maturation	HP:0008134
Equinus calcaneus	HP:0008138
Equinus deformity of the calcaneus	HP:0008138
Hindfoot equinus	HP:0008138
Dislocation of toes	HP:0008141
Dislocation of toes	HP:0008141
Delayed calcaneal ossification	HP:0008142
Delayed heel bone maturation	HP:0008142
Flattening of the talar dome	HP:0008144
Impaired epinephrine-induced platelet aggregation	HP:0008148
Elevated serum transaminases during infections	HP:0008150
Prolonged prothrombin time	HP:0008151
Periodic hypokalemic paresis	HP:0008153
Hypokalemic periodic paresis	HP:0008153
Mucopolysacchariduria	HP:0008155
Hyperapobetalipoproteinemia	HP:0008158
3-hydroxydicarboxylic aciduria	HP:0008160
Absent leukocyte alkaline phosphatase	HP:0008161
Asymptomatic hyperammonemia	HP:0008162
Hyperammonemia, asymptomatic	HP:0008162
Decreased circulating cortisol level	HP:0008163
Low to undetectable plasma cortisol	HP:0008163
Glucocorticoid insufficiency	HP:0008163
Hypocortisolism	HP:0008163
Decreased cortisol production	HP:0008163
Plasma cortisol low	HP:0008163
Hypocortisolemia	HP:0008163
Decreased proportion circulating T-helper cells	HP:0008165
Decreased beta-galactosidase activity	HP:0008166
Beta-galactosidase-1 deficiency	HP:0008166
Beta-galactosidase deficiency in fibroblasts and white blood cells	HP:0008166
Decreased beta galactosidase activity	HP:0008166
Very long chain fatty acid accumulation	HP:0008167
Reduced factor VII activity	HP:0008169
Factor VII deficiency	HP:0008169
Neonatal unconjugated hyperbilirubinemia	HP:0008176
Abnormal cartilage matrix	HP:0008178
Decreased Arden ratio of electrooculogram	HP:0008179
Decreased Arden ratio of EOG	HP:0008179
Mildly elevated creatine phosphokinase	HP:0008180
Mildly increased creatine kinase	HP:0008180
Mildly increased serum creatine kinase	HP:0008180
Moderately increased serum creatine kinase	HP:0008180
Abetalipoproteinemia	HP:0008181
Adrenocortical hypoplasia	HP:0008182
Small adrenal cortex	HP:0008182
Precocious puberty in males	HP:0008185
Early onset of puberty in males	HP:0008185
Male precocious puberty	HP:0008185
Adrenocortical cytomegaly	HP:0008186
Absence of secondary sex characteristics	HP:0008187
No secondary sexual characteristics at puberty	HP:0008187
Thyroid dysgenesis	HP:0008188
Thyroid dysplasia	HP:0008188
Insulin insensitivity	HP:0008189
Thyroid agenesis	HP:0008191
Athyroidal hypothyroidism	HP:0008191
Primary gonadal insufficiency	HP:0008193
Multiple pancreatic beta-cell adenomas	HP:0008194
Absence of pubertal development	HP:0008197
Congenital hypoparathyroidism	HP:0008198
Neonatal hypoparathyroidism	HP:0008198
Primary hyperparathyroidism	HP:0008200
Prolactin deficiency	HP:0008202
Precocious puberty with Sertoli cell tumor	HP:0008204
Insulin-dependent but ketosis-resistant diabetes	HP:0008205
Primary adrenal insufficiency	HP:0008207
Addison disease	HP:0008207
Primary adrenocortical failure	HP:0008207
Adrenocortical insufficiency	HP:0008207
Addison's disease	HP:0008207
Parathyroid hyperplasia	HP:0008208
Enlarged parathyroid glands	HP:0008208
Premature ovarian insufficiency	HP:0008209
Hypergonadotropic amenorrhea	HP:0008209
Climacterium praecox	HP:0008209
Premature ovarian failure	HP:0008209
Early menopause	HP:0008209
Primary ovarian insufficiency	HP:0008209
Menopause praecox	HP:0008209
Premature menopause	HP:0008209
Parathyroid agenesis	HP:0008211
Parathyroid aplasia	HP:0008211
Parathyroid absence	HP:0008211
Gonadotropin deficiency	HP:0008213
Pituitary gonadotropin deficiency	HP:0008213
Decreased serum estradiol	HP:0008214
Decreased serum estradiol	HP:0008214
Adrenal gland dysgenesis	HP:0008216
Adrenal gland dysplasia	HP:0008216
Dysplastic adrenal glands	HP:0008216
Adrenal hyperplasia	HP:0008221
Enlarged adrenal glands	HP:0008221
Female infertility	HP:0008222
Female infertility	HP:0008222
Compensated hypothyroidism	HP:0008223
Thyroid follicular hyperplasia	HP:0008225
Androgen insufficiency	HP:0008226
Hypoandrogenism	HP:0008226
Pituitary resistance to thyroid hormone	HP:0008227
Thyroid lymphangiectasia	HP:0008229
Thyroid lymphangiectasis	HP:0008229
Decreased testosterone in males	HP:0008230
Macronodular adrenal hyperplasia	HP:0008231
Elevated circulating follicle stimulating hormone level	HP:0008232
Increased circulating follicle stimulating hormone level	HP:0008232
Elevated follicle stimulating hormone	HP:0008232
Elevated follicle-stimulating hormone	HP:0008232
Elevated FSH level	HP:0008232
Elevated plasma follicle stimulating hormone	HP:0008232
Decreased circulating progesterone	HP:0008233
Decreased serum progesterone	HP:0008233
Isosexual precocious puberty	HP:0008236
Hypothalamic hypothyroidism	HP:0008237
Tertiary hypothyroidism	HP:0008237
Adrenal medullary hypoplasia	HP:0008239
Small adrenal medulla	HP:0008239
Secondary growth hormone deficiency	HP:0008240
Pseudohypoaldosteronism	HP:0008242
Congenital adrenal hypoplasia	HP:0008244
Congenital adrenal gland hypoplasia	HP:0008244
Pituitary hypothyroidism	HP:0008245
Secondary hypothyroidism	HP:0008245
Thyrotropin deficiency	HP:0008245
Thyroid stimulating hormone deficiency	HP:0008245
TSH deficient hypothyroidism	HP:0008245
Euthyroid hyperthyroxinemia	HP:0008247
Asymptomatic hyperthyroxinemia	HP:0008247
Thyroid hyperplasia	HP:0008249
Large thyroid	HP:0008249
Infantile hypercalcemia	HP:0008250
Congenital goiter	HP:0008251
Transient neonatal diabetes mellitus	HP:0008255
Adrenocortical adenoma	HP:0008256
Adrenocortical adenomas	HP:0008256
Congenital adrenal hyperplasia	HP:0008258
Adrenocorticotropin receptor defect	HP:0008259
ACTH receptor defect	HP:0008259
ACTHR defect	HP:0008259
Adrenocorticotropic hormone-resistant adrenal insufficiency	HP:0008259
Pancreatic islet cell adenoma	HP:0008261
Thyroid defect in oxidation and organification of iodide	HP:0008263
Neutrophil inclusion bodies	HP:0008264
Mitochondrial lysine transport defect	HP:0008265
Increased red cell hemolysis by shear stress	HP:0008269
Abnormal cartilage collagen	HP:0008271
Abnormal type II collagen	HP:0008271
Abnormal hyaline collagen	HP:0008271
Renal tubular lysine transport defect	HP:0008272
Transient aminoaciduria	HP:0008273
Abnormal light-adapted electroretinogram	HP:0008275
Abnormal cone-mediated electroretinogram	HP:0008275
Abnormality of zinc homeostasis	HP:0008277
Abnormal zinc metabolism	HP:0008277
Cerebellar cortical atrophy	HP:0008278
Cerebellar cortex degeneration	HP:0008278
Transient hyperlipidemia	HP:0008279
Acute hyperammonemia	HP:0008281
Hyperammonemia, acute	HP:0008281
Unconjugated hyperbilirubinemia	HP:0008282
Fasting hyperinsulinemia	HP:0008283
High blood insulin levels while fasting	HP:0008283
Transient hypophosphatemia	HP:0008285
Nonketotic hyperglycinemia	HP:0008288
Partial complement factor H deficiency	HP:0008290
Pituitary corticotropic cell adenoma	HP:0008291
ACTH-producing pituitary adenoma	HP:0008291
Corticotropin-secreting pituitary adenoma	HP:0008291
Long-chain dicarboxylic aciduria	HP:0008293
Transient hyperphenylalaninemia	HP:0008297
Dermatan sulfate excretion in urine	HP:0008301
Olivary degeneration	HP:0008303
Exercise-induced myoglobinuria	HP:0008305
Exercise-induced myoglobinuria in adults	HP:0008305
Abnormal iron deposition in mitochondria	HP:0008306
Medium chain dicarboxylic aciduria	HP:0008309
Spinal cord posterior columns myelin loss	HP:0008311
Decreased activity of mitochondrial complex II	HP:0008314
Respiratory complex II deficiency	HP:0008314
Decreased plasma free carnitine	HP:0008315
Abnormal mitochondria in muscle tissue	HP:0008316
Abnormal mitochondria in muscle	HP:0008316
Elevated leukocyte alkaline phosphatase	HP:0008318
Impaired collagen-induced platelet aggregation	HP:0008320
Reduced factor X activity	HP:0008321
Factor X deficiency	HP:0008321
Decreased factor x activity	HP:0008321
Abnormal mitochondrial morphology	HP:0008322
Abnormal mitochondrion morphology	HP:0008322
Abnormal light- and dark-adapted electroretinogram	HP:0008323
Abnormal rod and cone electroretinogram	HP:0008323
Vitamin B6 deficiency	HP:0008326
Reduced vitamin b6 levels	HP:0008326
Vitamin B6 deficiency	HP:0008326
Microscopic nephrocalcinosis	HP:0008327
Reduced von Willebrand factor activity	HP:0008330
Decreased von willebrand factor activity	HP:0008330
Elevated creatine kinase after exercise	HP:0008331
Increased creatine kinase after exercise	HP:0008331
Increased phospho-creatine kinase after exercise	HP:0008331
Elevated creatine phosphokinase after exercise	HP:0008331
Elevated phospho-creatine kinase after exercise	HP:0008331
Increased creatine phosphokinase after exercise	HP:0008331
Renal aminoaciduria	HP:0008335
Complex organic aciduria	HP:0008336
Partial functional complement factor D deficiency	HP:0008338
Partial functional adipsin deficiency	HP:0008338
Partial functional factor d deficiency	HP:0008338
Diaminoaciduria	HP:0008339
Distal renal tubular acidosis	HP:0008341
Renal tubular acidosis, type I	HP:0008341
Elevated plasma branched chain amino acids	HP:0008344
Hypoplasia of the iris dilator muscle	HP:0008345
Underdeveloped pupil dilator muscle	HP:0008345
Underdeveloped iris dilator muscle	HP:0008345
Hypoplasia of the pupil dilator muscle	HP:0008345
Increased red cell sickling tendency	HP:0008346
Increased sickling of red cells	HP:0008346
Increased sickling of erythrocytes	HP:0008346
Decreased activity of mitochondrial complex IV	HP:0008347
Respiratory complex IV deficiency	HP:0008347
Immunoglobulin IgG2 deficiency	HP:0008348
Reduced IgG2 levels	HP:0008348
Impaired platelet adhesion	HP:0008352
Impaired thrombocytes adhesion	HP:0008352
Neutral hyperaminoaciduria	HP:0008353
Factor X activation deficiency	HP:0008354
obsolete Combined hyperlipidemia	HP:0008356
Reduced factor XIII activity	HP:0008357
Hyperprolinemia	HP:0008358
Prolinemia	HP:0008358
Neonatal hypoproteinemia	HP:0008360
Corticospinal tract pallor	HP:0008361
Aplasia/Hypoplasia of the hallux	HP:0008362
Aplastic/hypoplastic halluces	HP:0008362
Absent/underdeveloped big toe	HP:0008362
Absent/small big toe	HP:0008362
Aplasia/Hypoplasia of the tarsal bones	HP:0008363
Aplastic/hypoplastic tarsals	HP:0008363
Absent/small ankle bone	HP:0008363
Absent/underdeveloped ankle bone	HP:0008363
Abnormality of the calcaneus	HP:0008364
Abnormal heel bone	HP:0008364
Abnormality of the talus	HP:0008365
Abnormal large bone of ankle	HP:0008365
Contractures involving the joints of the feet	HP:0008366
Contractures of the foot joints	HP:0008366
Tarsal synostosis	HP:0008368
Synostosis involving tarsal bones	HP:0008368
Fused ankle bones	HP:0008368
Tarsal bone synostosis	HP:0008368
Synostosis of tarsal bones	HP:0008368
Tarsal fusion	HP:0008368
Tarsal fusions	HP:0008368
Tarsal bone fusion	HP:0008368
Abnormal tarsal ossification	HP:0008369
Abnormal ossification of tarsal bones	HP:0008369
Hardening of ankle bones	HP:0008369
Abnormal maturation of ankle bones	HP:0008369
Abnormal metatarsal ossification	HP:0008371
Abnormal ossification involving metatarsal bones	HP:0008371
Abnormal maturation of long bone of foot	HP:0008371
Abnormality of vitamin A metabolism	HP:0008372
Puberty and gonadal disorders	HP:0008373
Puberty and gonadal disorders	HP:0008373
Nasal, dysarthic speech	HP:0008376
Breathy speech	HP:0008376
Slow-growing nails	HP:0008383
Slow-growing nails	HP:0008383
Aplasia/Hypoplasia of the nails	HP:0008386
Nail aplasia/hypoplasia	HP:0008386
Absent/small nails	HP:0008386
Absent/hypoplastic nails	HP:0008386
Absent/underdeveloped nails	HP:0008386
Abnormal toenail morphology	HP:0008388
Abnormality of the toenail	HP:0008388
Abnormality of the toenails	HP:0008388
Recurrent loss of toenails and fingernails	HP:0008390
Recurrent loss of toenails and fingernails	HP:0008390
Recurrent shedding of toenails and fingernails	HP:0008390
Dystrophic fingernails	HP:0008391
Poor fingernail formation	HP:0008391
Subungual hyperkeratosis	HP:0008392
Thickened, discolored skin under nail	HP:0008392
Congenital curved nail of fourth toe	HP:0008393
Congenital onychodystrophy	HP:0008394
Congenital malformed nails	HP:0008394
Chronic monilial nail infection	HP:0008396
Hypoplastic fifth fingernail	HP:0008398
Underdeveloped fingernail of pinkie finger	HP:0008398
Underdeveloped fifth fingernail	HP:0008398
Underdeveloped fingernail of little finger	HP:0008398
Underdeveloped fingernail of pinky finger	HP:0008398
Circumungual hyperkeratosis	HP:0008399
Thick skin around nails	HP:0008399
Onycholysis of distal fingernails	HP:0008400
Detachment of outermost fingernails	HP:0008400
Onychogryposis of toenails	HP:0008401
Overgrowth and curving of toenails	HP:0008401
Ridged fingernail	HP:0008402
Ridged fingernail	HP:0008402
Longitudinally grooved fingernails	HP:0008402
Ridged fingernails	HP:0008402
Nail dystrophy	HP:0008404
Dystrophic nails	HP:0008404
Onychodystrophy	HP:0008404
Poor nail formation	HP:0008404
Hyperconvex thumb nails	HP:0008407
Tightly curved thumb nail	HP:0008407
Subungual hyperkeratotic fragments	HP:0008410
Lumbar kyphosis in infancy	HP:0008414
Round back in infancy	HP:0008414
Hunched back in infancy	HP:0008414
Six lumbar vertebrae	HP:0008416
Vertebral hypoplasia	HP:0008417
Underdeveloped vertebrae	HP:0008417
Squared-off platyspondyly	HP:0008418
Intervertebral disc degeneration	HP:0008419
Degenerative disc disease	HP:0008419
Degeneration of intervertebral disks	HP:0008419
Degenerative intervertebral disk	HP:0008419
Punctate vertebral calcifications	HP:0008420
Tall lumbar vertebral bodies	HP:0008421
Vertebral wedging	HP:0008422
Wedge-shaped vertebrae	HP:0008422
Spinal dysplasia	HP:0008423
Hypoplastic 5th lumbar vertebrae	HP:0008424
Underdeveloped 5th lumbar vertebrae	HP:0008424
Cuboid-shaped thoracolumbar vertebral bodies	HP:0008425
Vertebral clefting	HP:0008428
Vertebral clefts	HP:0008428
Anterior beaking of lumbar vertebrae	HP:0008430
Anterior tongue-like protrusion of lumbar vertebral bodies	HP:0008430
Anterior wedging of L1	HP:0008432
Reversed usual vertebral column curves	HP:0008433
Hypoplastic cervical vertebrae	HP:0008434
Underdeveloped cervical vertebrae	HP:0008434
Cervical vertebrae hypoplasia	HP:0008434
Absent in utero ossification of vertebral bodies	HP:0008435
Absent/hypoplastic coccyx	HP:0008436
Absent/small tailbone	HP:0008436
Absent/underdeveloped tailbone	HP:0008436
Bifid thoracic vertebrae	HP:0008437
Vertebral arch anomaly	HP:0008438
Vertebral arch abnormalities	HP:0008438
Lumbar hemivertebrae	HP:0008439
C1-C2 vertebral abnormality	HP:0008440
Herniation of intervertebral nuclei	HP:0008441
Herniated intervertebral nuclei	HP:0008441
Herniated disk	HP:0008441
Vertebral hyperostosis	HP:0008442
Spinal deformities	HP:0008443
Posterior wedging of vertebral bodies	HP:0008444
Cervical spinal canal stenosis	HP:0008445
Narrow cervical spinal canal	HP:0008445
Hypoplastic coccygeal vertebrae	HP:0008447
Progressive cervical vertebral spine fusion	HP:0008449
Narrow vertebral interpedicular distance	HP:0008450
Narrowing of interpediculate distances	HP:0008450
Interpedicular narrowing	HP:0008450
Narrow interpedicular space	HP:0008450
Narrow interpediculate distances	HP:0008450
Posterior vertebral hypoplasia	HP:0008451
Wafer-thin platyspondyly	HP:0008452
Congenital kyphoscoliosis	HP:0008453
Lumbar kyphosis	HP:0008454
Lumbar gibbus deformity	HP:0008454
Rounded lower back	HP:0008454
Dysplastic sacrum	HP:0008455
C2-C3 subluxation	HP:0008456
Caudal interpedicular narrowing	HP:0008457
Caudal narrowing of interpedicular distances	HP:0008457
Progressive congenital scoliosis	HP:0008458
Cervical vertebral agenesis	HP:0008459
Cervical vertebrae agenesis	HP:0008459
Missing cervical vertebrae	HP:0008459
Hypoplastic spinal processes	HP:0008460
Underdeveloped spinal processes	HP:0008460
Cervical vertebral facet hypoplasia	HP:0008461
Cervical instability	HP:0008462
Central vertebral hypoplasia	HP:0008463
Absent spinous processes of lower thoracic and lumbar vertebrae	HP:0008464
Absent vertebra	HP:0008465
Absent vertebrae	HP:0008465
Thoracic hemivertebrae	HP:0008467
Midthoracic hemivertebrae	HP:0008467
Abnormal sacral segmentation	HP:0008468
Cervical vertebral dysplasia	HP:0008469
Lower thoracic interpediculate narrowness	HP:0008470
Narrowness of interpediculate distances in lower thoracic regions	HP:0008470
Prominent protruding coccyx	HP:0008472
Prominent protruding tailbone	HP:0008472
Large tailbone	HP:0008472
Narrow anterio-posterior vertebral body diameter	HP:0008473
Reduced sagittal diameter of vertebrae	HP:0008473
Hypoplastic sacral vertebrae	HP:0008475
Irregular sclerotic endplates	HP:0008476
irregular, dense end plate	HP:0008476
Poorly ossified cervical vertebrae	HP:0008477
Scheuermann-like vertebral changes	HP:0008478
Hypoplastic vertebral bodies	HP:0008479
Small vertebral bodies	HP:0008479
Small vertebrae	HP:0008479
Cervical spondylosis	HP:0008480
Cervical oestoarthritis	HP:0008480
Neck arthritis	HP:0008480
Asymmetry of spinal facet joints	HP:0008482
Cervical vertebral bodies with decreased anteroposterior diameter	HP:0008483
Thoracolumbar interpediculate narrowness	HP:0008484
Narrow thoracolumbar interpediculate distance	HP:0008484
Lumbar interpedicular narrowing	HP:0008486
Decreasing lumbar vertebrae interpediculate distance	HP:0008486
Anterior rounding of vertebral bodies	HP:0008488
Spondylolisthesis at L5-S1	HP:0008489
Spondylolysis and spondylolisthesis of l5	HP:0008489
Sacral segmentation defect	HP:0008490
Premature anterior fontanel closure	HP:0008491
Inferior lens subluxation	HP:0008494
Inferior subluxated lens	HP:0008494
Multiple rows of eyelashes	HP:0008496
Multiple rows of eyelashes	HP:0008496
Double row of eyelashes	HP:0008496
Extra rows of eyelashes	HP:0008496
Two rows of eyelashes	HP:0008496
Congenital craniofacial dysostosis	HP:0008497
No permanent dentition	HP:0008498
Absence of adult teeth	HP:0008498
Absence of secondary dentition	HP:0008498
Missing adult teeth	HP:0008498
No secondary dentition	HP:0008498
No adult dentition	HP:0008498
High hypermetropia	HP:0008499
High hyperopia	HP:0008499
High-grade hypermetropia	HP:0008499
Severe long-sightedness	HP:0008499
Severe farsightedness	HP:0008499
Median cleft lip and palate	HP:0008501
Medial cleft lip and palate	HP:0008501
Wide midline cleft lip/palate	HP:0008501
Midline cleft lip/palate	HP:0008501
Central cleft lip and palate	HP:0008501
Moderate sensorineural hearing impairment	HP:0008504
Moderate neural deafness	HP:0008504
Static ophthalmoparesis	HP:0008507
Aged leonine appearance	HP:0008509
Central posterior corneal opacity	HP:0008511
Bilateral conductive hearing impairment	HP:0008513
Bilateral conductive deafness	HP:0008513
Bilateral conductive hearing loss	HP:0008513
Aplasia/Hypoplasia of the vertebrae	HP:0008515
Absent/small vetebrae	HP:0008515
Absent/underdeveloped vetebrae	HP:0008515
Abnormality of the vertebral spinous processes	HP:0008516
Aplasia/Hypoplasia of the sacrum	HP:0008517
Absent/small sacrum	HP:0008517
Absent/underdeveloped sacrum	HP:0008517
Aplasia/Hypoplasia involving the vertebral column	HP:0008518
Absent/underdeveloped vetebral column	HP:0008518
Absent/small spine	HP:0008518
Absent/small backbone	HP:0008518
Absent/small vertebral column	HP:0008518
Absent/underdeveloped backbone	HP:0008518
Absent/underdeveloped spine	HP:0008518
Abnormality of the coccyx	HP:0008519
Abnormal tailbone	HP:0008519
Posterior helix pit	HP:0008523
Indentation in back of outer ear	HP:0008523
Ear, posterior helical groove	HP:0008523
Ear, posterior helical notch	HP:0008523
Helix, posterior pit	HP:0008523
Pits in posterior aspect of ear helices	HP:0008523
Congenital sensorineural hearing impairment	HP:0008527
Congenital perceptive deafness	HP:0008527
Hearing loss, congenital sensorineural	HP:0008527
Congenital neurosensory deafness	HP:0008527
Congenital sensorineural hearing loss	HP:0008527
Congenital sensorineural deafness	HP:0008527
Bilateral congenital sensorineural deafness	HP:0008527
Long hairs growing from helix of pinna	HP:0008528
Ear hair	HP:0008528
Long hairs growing from helix of ear	HP:0008528
Absence of acoustic reflex	HP:0008529
Absence of acoustic middle ear muscle reflexes	HP:0008529
Absent middle ear reflexes	HP:0008529
Cleft at the superior portion of the pinna	HP:0008537
Cleft at the superior portion of the ear	HP:0008537
Superiorly displaced ears	HP:0008541
High set ears	HP:0008541
Low-frequency hearing loss	HP:0008542
Low-frequency hearing loss	HP:0008542
Abnormally folded helix	HP:0008544
Microtia	HP:0008551
Hypoplasia of the external ear	HP:0008551
Hypoplastic pinna	HP:0008551
Bilateral microtia	HP:0008551
Small ears	HP:0008551
Hypoplastic ears	HP:0008551
Small pinnae	HP:0008551
Underdeveloped ears	HP:0008551
Cochlear malformation	HP:0008554
Absent vestibular function	HP:0008555
Hypoplastic superior helix	HP:0008559
Underdeveloped superior helices	HP:0008559
Vestibular areflexia	HP:0008568
Vestibular ataxia	HP:0008568
Microtia, second degree	HP:0008569
Snail ear	HP:0008569
Mini ear	HP:0008569
Severe cupped ear, type III	HP:0008569
Shell ear	HP:0008569
Cockleshell ear	HP:0008569
Constricted helix type IV	HP:0008569
Ear, grade II dysplasia	HP:0008569
External ear malformation	HP:0008572
External ear malformation	HP:0008572
Low-frequency sensorineural hearing impairment	HP:0008573
Low-frequency sensorineural hearing loss	HP:0008573
Underfolded helix	HP:0008577
Poorly folded helices	HP:0008577
Underfolded superior helices	HP:0008583
Hypoplasia of the cochlea	HP:0008586
Hypoplastic cochlea	HP:0008586
Underdeveloped cochlea	HP:0008586
Mild neurosensory hearing impairment	HP:0008587
Mild neurosensory hearing loss	HP:0008587
Slit-like opening of the exterior auditory meatus	HP:0008588
Hypoplastic helices	HP:0008589
Underdeveloped helices	HP:0008589
Congenital conductive hearing impairment	HP:0008591
Congenital conductive hearing loss	HP:0008591
Congenital conductive deafness	HP:0008591
Prominent antitragus	HP:0008593
Enlarged antitragus	HP:0008593
Hyperplastic antitragus	HP:0008593
Hypertrophic antitragus	HP:0008593
Postlingual sensorineural hearing impairment	HP:0008596
Mild conductive hearing impairment	HP:0008598
Conductive hearing loss, mild	HP:0008598
Unilateral external ear deformity	HP:0008605
Deformed external ear on one side	HP:0008605
Supraauricular pit	HP:0008606
Supraauricular sinuses	HP:0008606
Supraauricular fistula	HP:0008606
Pit above the ear	HP:0008606
Supraauricular sinus	HP:0008606
Progressive conductive hearing impairment	HP:0008607
Progressive conductive deafness	HP:0008607
Hypertrophic auricular cartilage	HP:0008608
Morphological abnormality of the middle ear	HP:0008609
Middle ear malformation	HP:0008609
Morphological abnormality of the middle ear	HP:0008609
Infantile sensorineural hearing impairment	HP:0008610
Infantile sensorineural hearing loss	HP:0008610
Adult onset sensorineural hearing impairment	HP:0008615
Late sensorineural hearing loss	HP:0008615
Sensorineural deafness, late-onset	HP:0008615
Bilateral sensorineural hearing impairment	HP:0008619
Bilateral sensorineural deafness	HP:0008619
Bilateral nerve deafness	HP:0008619
Bilateral sensorineural hearing loss	HP:0008619
Hearing loss, sensorineural, bilateral	HP:0008619
Severe sensorineural hearing impairment	HP:0008625
Severe sensorineural deafness	HP:0008625
Severe sensorineural hearing loss	HP:0008625
Abnormality of the stapes	HP:0008628
Stapedial abnormalities	HP:0008628
Pulsatile tinnitus	HP:0008629
Ureteral dysgenesis	HP:0008631
Absent gonadal tissue	HP:0008633
Hypertrophy of the urinary bladder	HP:0008635
Hypertrophic urinary bladder	HP:0008635
Lobular glomerulopathy	HP:0008636
Gonadal hypoplasia	HP:0008639
Underdeveloped gonad	HP:0008639
Congenital macroorchidism	HP:0008640
Nephroblastomatosis	HP:0008643
Pubertal developmental failure in females	HP:0008647
Anteriorly displaced urethral meatus	HP:0008648
Uric acid urolithiasis independent of gout	HP:0008651
Autonomic erectile dysfunction	HP:0008652
Impotence due to autonomic dysfunction	HP:0008652
Crescentic glomerulonephritis	HP:0008653
Aplasia/Hypoplasia of the fallopian tube	HP:0008655
Absent/underdeveloped fallopian tube	HP:0008655
Absent/small fallopian tube	HP:0008655
Absent or rudimentary fallopian tubes	HP:0008655
Incomplete male pseudohermaphroditism	HP:0008656
Multiple small medullary renal cysts	HP:0008659
Medullary cystic disease	HP:0008659
